"Version","Task","Concept","Att 1 - Verpflegung","Att 2 - Kundenbewertung","Att 3 - Art des Hotels","Att 4 - Meerblick","Att 5 - Preis","Att 6 - Zimmerkategorie"
353,1,2,3,2,1,3,2,3
354,1,1,1,3,3,1,3,1
354,1,2,2,1,2,2,1,2
355,1,1,1,3,3,2,2,3
355,1,2,2,2,1,3,3,2
356,1,1,3,1,2,1,1,1
356,1,2,2,3,3,3,3,3
357,1,1,1,2,2,1,2,2
357,1,2,3,1,1,2,1,1
358,1,1,1,2,1,3,1,1
358,1,2,3,3,2,2,3,3
359,1,1,2,1,3,1,2,2
359,1,2,3,2,2,3,3,3
360,1,1,1,1,3,1,1,2
360,1,2,2,3,1,2,2,1
361,1,1,2,2,2,1,3,1
361,1,2,3,3,1,3,2,2
362,1,1,1,1,3,2,1,3
362,1,2,3,3,1,1,3,2
363,1,1,1,1,2,3,2,1
363,1,2,2,2,3,2,1,3
364,1,1,1,2,1,2,3,2
364,1,2,3,3,3,1,2,3
365,1,1,2,1,2,3,1,1
365,1,2,3,2,3,2,2,2
366,1,1,1,1,2,3,3,3
366,1,2,2,3,1,1,1,1
367,1,1,1,2,3,1,3,1
367,1,2,2,1,1,2,2,2
368,1,1,2,1,3,2,3,1
368,1,2,3,3,2,3,1,3
369,1,1,1,3,1,3,2,3
369,1,2,3,2,2,1,1,2
370,1,1,1,2,2,2,2,1
370,1,2,3,1,3,3,3,2
371,1,1,3,1,3,3,2,1
371,1,2,2,3,1,1,1,3
372,1,1,2,2,1,1,3,3
372,1,2,1,3,2,2,1,2
373,1,1,3,1,2,2,3,3
373,1,2,1,2,1,3,1,2
374,1,1,2,3,3,1,2,1
